描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
重庆博俊_重庆腾海,SRTC-2C11389L,中小型,165.0,握杆（SBA）,4500.0,,ITS85,99.0,水平,160,上,0.0,ABB,1.0,联轴器型,铝,210,无,380.0,无,395.0,1进1出,124.0,,,,,,,,,,,,,
安徽巨一_安徽江淮X2233项目,SRTC-2C11338L,大型,220.0,握杆（SBA）,5000.0,,DB6-100R1,,水平,160,上,0.0,KUKA,,中空,铝,310,STAUBLI,250.0,无,631.5,1进1出,114.0,,,,,,,,,,,,,
株洲天一_合肥弗迪科技,SRTC-2C11365,中小型,,握杆（SBA）,,,DB6-100R1,,水平,125,右,,KUKA,,联轴器型,铝,210,,345.0,,425.0,,100.0,,,,,,,,,,,,,
S-46904C福建明鑫_南京腾海,SRTC-2C11375L,中小型,,握杆（铝）,,,ITS85,85.0,水平,125,下,,FANUC,,联轴器型,铝,210,,230.0,,393.0,2进2出,124.0,,,,,,,,,,,,,
芜湖德恒-福州胜德,SRTC-2C11356L,中小型,190.0,TIP BASE（F 型）,4500.0,,ITS85,103.0,水平,125,下,,FANUC,1.0,低压,铝,210,无,255.0,无,570.0,1进1出,,,,,,,,,,,,,,
安徽巨一_安徽江淮X2233项目,SRTC-2C11335L,中小型,171.0,握杆（SBA）,5000.0,,DB6-100R1,100.0,水平,160,前,30.0,KUKA,1.0,中空,SS400,210,无,270.0,无,363.0,1进1出,100.0,,,,,,,,,,,,,
S-46561C郑州多元_潍坊福田-EVC4,SRTC-2C11315L,中小型,58.0,,3500.0,,DB6-100R1,,竖直,125,右,,DIAKONT,,中空,铝,其他,,,,,,,,上,,滑轨,,,,,,,,,
合肥舜皓,SRTC-2C11331L,中小型,189.5,握杆（铝）,5000.0,,ITS85,113.0,水平,125,右,0.0,FANUC,,高压,铝,210,无,410.0,无,759.5,2进2出,124.0,,,,,,,,,,,,,
重庆研硕_重庆千能,SRTC-2C11341L,中小型,170.0,TIP BASE（G 型）,4200.0,,ITS85,100.0,水平,125,右,0.0,FANUC,1.0,低压,铝,210,无,225.0,无,346.0,2进2出,,,,,,,,,,,,,,
S-46561C郑州多元_潍坊福田-EVC4,SRTC-2C11314L,中小型,90.0,TIP BASE（F 型）,4500.0,,DB6-100R1,102.0,水平,160,下,45.0,DIAKONT,,中空,铝,,有,240.0,,334.0,,,,,,,,,,,,,,,
S-46743C重庆研硕_重庆千能,SRTC-2C11342L,中小型,140.5,握杆（铝）,4500.0,,ITS85,91.0,水平,125,右,,FANUC,,低压,铝,210,,260.0,,390.0,,100.0,,,,,,,,,,,,,
安川首钢_卡斯马天津-奔驰V540项目,SRTC-C11139L,大型,150.0,握杆（铝）,5500.0,,商科,,水平,125,右,0.0,YASKAWA,,联轴器型,铝,210,无,195.0,无,514.5,2进2出,74.0,,,,,,,,,,,,,
重庆衍数-定州至信,SRTC-S2C11351L,中小型,152.0,握杆（铝）,4500.0,,RT752,125.0,水平,125,上,,KUKA,1.0,联轴器型,铝,210,无,330.0,无,413.5,1进1出,124.0,,,,,,,,,,,,,
安川首钢_卡斯马天津-奔驰V540项目,SRTC-C11137L,大型,100.0,握杆（SBA）,5500.0,,商科,107.0,水平,125,右,0.0,YASKAWA,,联轴器型,铝,210,无,140.0,无,434.5,2进2出,74.0,,,,,,,,,,,,,
安川首钢-天汽模志通华为X2233项目,SRTC-C11349L,大型,150.0,握杆（SBA）,4500.0,,商科,,水平,125,右,0.0,YASKAWA,,联轴器型,铝,210,无,330.0,无,484.5,2进2出,200.0,,,,,,,,,,,,,
重庆衍数_定州至信,SRTC-S2C11368L,中小型,165.0,握杆（铝）,4500.0,,RT752,,水平,125,上,0.0,KUKA,,联轴器型,铝,210,无,350.0,无,614.5,1进1出,124.0,,,,,,,,,,,,,
M46774重庆衍数_定州至信改造,SRTC-S2C11160A,中小型,170.0,握杆（铝）,6000.0,,RT752,127.0,水平,125,上,,KUKA,,联轴器型,铝,160,,252.0,,458.0,,124.0,,,,,,,,,,,,,
重庆衍数_定州至信,SRTC-S2C11350L,中小型,,握杆（铝）,,,RT752,,水平,125,上,,KUKA,,联轴器型,铝,210,,250.0,,425.0,,124.0,,,,,,,,,,,,,
OIND_JBML-KHARKHODA-YXA-240509-02,SRTC-2C11359L,中小型,150.0,握杆（铝）,5000.0,,DB6-100R1,,水平,125,右,,FANUC,2.0,联轴器型,铝,210,无,260.0,无,524.5,2进2出,154.0,,,,,,,,,,,,,
OIND_JBML-KHARKHODA-YXA-240509-02,SRTC-2C11360L,中小型,,握杆（铝）,,,DB6-100R1,,水平,125,右,45.0,FANUC,,联轴器型,铝,210,,260.0,,411.0,,154.0,,,,,,,,,,,,,
昆山永仕达-台湾中华汽车,SRTC-2C11248L,中小型,190.0,握杆（铝）,4500.0,,DB6-100R1,104.0,竖直,125,右,,FANUC,1.0,联轴器型,铝,210,有,262.0,无,609.5,2进2出,124.0,,,,,,,,,,,,,
昆山永仕达-台湾中华汽车,SRTC-2C11247L,中小型,153.0,握杆（铝）,4500.0,,DB6-100R1,100.0,水平,125,下,,FANUC,1.0,联轴器型,铝,210,有,450.0,无,574.5,2进2出,124.0,,,,,,,,,,,,,
无锡朗贤-C589,SRTC-2C9221AL,中小型,180.0,握杆（SBA）,4000.0,,ITS85,94.0,水平,125,右,0.0,PANASONIC,1.0,联轴器型,铝,,无,300.0,无,361.0,2进2出,100.0,,,,,,,,,,,,,
成都依斯特_开封武秀,SRTC-5C11322L,中小型,111.0,握杆（铝）,4000.0,,ITS85,97.0,水平,125,右,,KUKA,1.0,联轴器型,铝,210,无,250.0,无,425.0,1进1出,105.0,,,,,,,,,,,,,
东风纳米,SRTC-2C11179L,中小型,110.0,握杆（SBA）,4500.0,,ITS85,,水平,125,右,20.0,FANUC,,联轴器型,铝,210,无,135.0,无,340.0,2进2出,,,,,,,,,,,,,,
江西康杰_江铃股份,SRTC-2C11090L,中小型,189.0,握杆（铝）,4500.0,,DB6-100R1,,水平,160,三维,,KUKA,,联轴器型,SS400,210,有,400.0,无,437.5,1进1出,124.0,,,,,,,,,,,,,
江西康杰_江铃股份,SRTC-2C11059AL,中小型,165.0,握杆（SBA）,4500.0,,DB6-100R1,,水平,160,下,,KUKA,,联轴器型,铝,210,有,230.0,无,318.0,1进1出,,,,,,,,,,,,,,
江西康杰_江铃股份,SRTC-2C11059L,中小型,165.0,握杆（SBA）,4500.0,,DB6-100R1,,水平,160,下,,KUKA,,联轴器型,铝,210,有,230.0,无,318.0,1进1出,,,,,,,,,,,,,,
联恒沈阳,SRTC-2C11084L,中小型,160.0,握杆（SBA）,3000.0,,ITS85,,水平,125,下,,FANUC,,中空,铝,210,无,325.0,无,390.0,1进1出,100.0,,,,,,,,,,,,,
长春一诺_一汽红旗,SRTC-C10967L,大型,245.0,握杆（铝）,4400.0,,ITS85,,水平,125,上,45.0,YASKAWA,,低压,铝,310,无,675.0,无,700.0,2进2出,120.0,,,,,,,,,,,,,
