描述,图号1(o),产品子分类类型,行程,电极臂端部,加压力,电极臂,变压器,重量,变压器放置方向,法兰P.C.D,托架方向,托架角度,MOTOR厂家,托架个数,齿轮箱型式,托架材料,齿轮箱行程,换枪装置,喉深,有无平衡,喉宽,水路,握杆伸出长度,偏心距离,偏心方向,偏心是否回到中心面,导向方式,静臂偏心,静电极臂端部,动臂偏心,动电极臂端部,支轴到驱动中心距离,静电极臂前部长,静电极臂前部高,动电极臂前部长,动电极臂前部高
广州德恒-卡斯马星乔,SRTX-2C7459L,中小型,150.0,,5000.0,,ITS85,,竖直,125,右,,,,联轴器型,铝,,,410.0,,275.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,70.0,246.0,205.0
广州德恒-卡斯马星乔,SRTX-2C7457L,中小型,150.0,,5000.0,,ITS85,,水平,125,上,,,,联轴器型,铝,,,410.0,,305.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,246.0,100.0,246.0,205.0
广州德恒-卡斯马星乔,SRTX-2C7458L,中小型,195.0,,4900.0,,ITS85,,水平,125,下,,,,联轴器型,SS400,,,531.0,,175.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,296.0,75.0,296.0,100.0
重庆山朕-重庆联伟CX482,SRTX-2C5753L,中小型,245.0,,5000.0,,ITS85,,竖直,125,右,,,,联轴器型,铝,,,746.0,,500.0,,,,,,,,握杆（铝）,,握杆（铝）,400.0,566.0,275.0,566.0,225.0
重庆山朕-重庆联伟CX482,SRTX-2C7474L,大型,210.0,,5000.0,,ITS85,,竖直,125,下,,,,联轴器型,铝,,,646.0,,395.0,,,,,,,,握杆（铝）,,握杆（铝）,400.0,536.0,270.0,486.0,125.0
重庆山朕-重庆联伟CX482,SRTX-2C5402L,大型,240.0,,5000.0,,ITS85,,竖直,125,下,,,,联轴器型,铝,,,746.0,,395.0,,,,,,,,握杆（铝）,,握杆（铝）,405.0,636.0,275.0,586.0,120.0
上海奥特博格-长安马自达,SRTX-2C7339L,中小型,195.0,,5000.0,,ITS85,,水平,125,下,,,,中空,铝,,,529.0,,200.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,355.0,80.0,355.0,120.0
上海奥特博格-长安马自达,SRTX-2C7340L,中小型,210.0,,4410.0,,ITS85,,水平,125,上,,,,中空,铝,,,570.0,,335.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,396.0,75.0,396.0,260.0
上海奥特博格-长安马自达,SRTX-2C7337L,中小型,200.0,,4900.0,,ITS85,,水平,125,上,,,,中空,铝,,,540.0,,350.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,366.0,220.0,366.0,130.0
O/IND-SKN MANESAR-Y1K PJ,SRTX-2C7790L,中小型,185.0,,5290.0,,DB6-100R1,,水平,125,右,,,,联轴器型,铝,,,500.0,,230.0,,,,,,,,握杆（铝）,,握杆（铝）,200.0,296.0,70.0,316.0,160.0
